date,close,url,yanse,name
20-May-13,2,/hits,#B18904,Hadoop Analytical Infrastructure
20-July-13,3,/hits,#58FAF4,News Influence on Stock Price
26-Oct-13,2,/work,#58D3F7,Recipe Recommendation
25-Nov-13,4,https://www.stevens.edu/howe/sites/howe/files/PROJECT%20FINAL%20REPORT_0.doc,#00BFFF,Bank of America â€“ Sentiment Analysis
24-Feb-14,5,work.html,#58FAF4,D3 Work
23-May-14,3,https://www.stevens.edu/howe/sites/howe/files/PROJECT%20FINAL%20REPORT_0.doc,#DF0101,Mining the Social Web
23-May-15,3,work.html,#DF0101,Hadoop Analytical Infrastructure



